record	uuid	code1	code2	code3	code4	code5	code6	code7
3	zb91zcjhnfmtaxct	1						
6	wt7szw2fhg8ganmn						1	
8	9j9egpeun58rjh8p	20						
12	tgyjwmpytb1br9tg	2						
14	wpfpeg4621kwqz5u	2						
16	tr2w8a7y2sw1ba8p						1	
17	tk4fbysmu05wcpyd	23						
19	yvzjs8g2yjymchmu	2						
20	8spvq8xryjm5nrv0	9	17					
22	w7w212b38pa19jfp	2						
27	54gbug9q17d38vmu						1	
28	zmr9cccr4xz244up	2						
29	569jgtm8wkp25ec4	2						
30	sn9m6jpyb4ptfd0r	20						
31	zjbebx4kwapb8f6n	10						
33	qvf0tpdv0x34cvud						1	
34	3xkhccg49fnmv3xp	2	9	17	18			
38	04hsbdp4z6e1r345	3						
39	b1kajpneyuq4jadh	2						
41	0rk8wuf54nsk1h1y						1	
46	mtd0udc1bajx5v1f						1	
47	6qp7fdz0vhf2ejtp	2						
49	62agmm2gudjchfrh	16						
54	9tg89end0jc0v368						1	
55	sbynnaqhmnmce999	17						
57	8fvtths2t3gfh7m5	2						
58	6t7myeapqb37ngmu	9						
59	vft5bfp6ytpr6zk7	2						
60	p1wcaa2mqrcpcbs0	4	10					
61	5cbz5cfhgvm1jn55						1	
62	1u535eq2q4nstjvp	13						
63	7g8cp5j3wv1nf9md	13						
64	qcbtubeeq4c2vn4r	9	17					
66	da0axy8fszzd9rm5	13						
71	zvzarcucxsek76aj	20						
72	a8dj7wkyc7cdfhcf	13	17					
73	d7az0n031ph7tg0u	2						
74	c8zujcdehjrrmj6c						1	
90	uwbkff71mvszy1rr						1	
91	ksnd1hnn1mvxm99m	9	17					
92	pxk5xezq8b14zcnh	20	23					
93	7h7ppb6jpfne3fa9						1	
94	g24qz7syj0bnaksa	1						
95	jw3k76bwbg6ryhm5	2						
96	avxtgtfmgcp194y2						1	
97	10agt0g6e9ycakax	4	10					
104	xzkkjt4zry3yp42n	3	13					
105	fj27dx986wvhx6at	13						
106	fwr3kc089wxup0r5	14	15	20				
107	kk6z0nytuz3vzrt2	3						
112	ut0t557q84e7s2kk	9	17					
113	na53hqk99xv1mffk						1	
115	xc6w1sur4zfwvtm2	2						
116	y0g7fqwxv1qkksqd	2						
117	mh5ae8tnmtumqq3y	1						
121	u0r2qvd9nhh83xsz						1	
127	vdetr9tgufwe8n9w	20						
128	vuhap0xpvwekkvga						1	
130	7k0y5r91sv2674dx						1	
131	3974pj6myap88n5u	13						
132	9jubmwffwm7enz4j	23						
134	gn5ewczavprnnrh6	23						
139	5pdz7jjr9kvh7t34						1	
141	z35ehaygh71re4pg						1	
142	abj74fetxxbv6b3j						1	
146	7vuxggmze9phqwj0						1	
147	jxevst2mkur0n2yc	22						
148	jncma7vhhbb0ysck						1	
150	a0tba1ex4pa2nw0p	13	20					
154	ng5d7xubyf3781k7	2						
155	h9gz99ykxuq3m3ms						1	
156	fv2xhbpvmswyu4wf	17						
157	e57ndv1eses7kf5v	2						
161	m3ygt36s8z0f11sp	23						
166	pfm3qmmjf50969ff						1	
167	bh98kw6z9rh2zjge						1	
168	savzsq34zeyhukpv	23						
172	2vb309hzzmk2cy7b	11	13	16				
174	yu226jk1rq6bg6te	6						
175	2p1ab4q2fg254zyx	3						
176	j6xs0k7s153sm584	9	22					
178	xpdp2tp1gf6es865						1	
179	p9jeg5wkr1d8vnwx	9						
185	cwna33njbqzu720h						1	
188	ytyndynv5b8c5ckc	3	9	20				
189	qnu6d7gakj4a07ev	13						
190	eh969cs5s1rcpgr1	13						
191	20j47w04y4jngne1						1	
195	qzgjajqk3xt7pcnh						1	
197	nhbnpj9mnu8x9z2z						1	
198	fsuyke3rwwkn1644						1	
200	5c48053yas0rhk1w	17						
201	4pakue34vg1nvawd	13	23					
202	xd0qhg3x6d19xn3z	3						
203	26uuqz7b8gfupty0	23						
205	9z2kttb4w3nvzkcg	5	17					
207	p84mgk7xmnbh5ftp	11	16					
212	0y9648k358fv8zpf						1	
213	5v4k69rnqc1jgh36	3	22					
215	9e9ukzwd5th47uwx	23						
219	sjxmc4wumbajmywd						1	
220	jvw14wjmg1517akz	12	13					
223	ngaxn3ab1xnpth1u	17	19					
224	bu0k7s5tdaandqek	4	23					
226	a4bxvxnywe5nx4z6	2						
227	gbptq7z3f6ster9d	5						
228	su7pzfuws95qqcqp	13	16	17				
229	91qjw6eft78ahhab						1	
230	quy7p6w4pz90s5pq	23						
231	352fvrty4xxp5rx0	15	16					
232	hxbk2gbskt3k6087	13						
233	sufsw685aqkh50cc	20						
234	79cbbvku7arjn6wt	20						
236	xga2f6n5e6bmjqs8						1	
237	5m7jd5n203km7myz	3	14	15	16	19		20
238	r3m8cx8dftfm5z2q	3						
239	tgcm7zfnxcu5nk6e	15	17					
240	9cyczkak7n23udyy						1	
241	rxf8ybh4ks7f0sbf	9	13	23				
245	ptazbqed0yr3795z	7	9	16	20			
246	asts9bqffs3ejkt1	12						
247	vuwx0twgrqn01g63						1	
249	3muptcudbarudyu9	23						
254	8x8ag9cwz51p53cs	16	23					
256	77hrhbuh0edzcdxf	3						
258	1asvmhmxfnbwy95k						1	
259	wu3ush3xqs20p6db						1	
261	bez5bwb4xs43qh4u						1	
262	vm43q1mqyqv7238y	3						
263	rhs3ayezyrbmspw5	9	17	18	20			
264	9c13xqvpdb5td5wz	13						
265	4cgueyw6agjw7etr	2						
266	dtwbaqctt6un9vx8	23						
275	nm98bu43jyb34ds0						1	
280	cq76kdgwp0577hu6	20						
283	2bptaum8yma1ty65	20						
290	pfsgs60x9f8yf8z7	10	20					
295	0phmbmp8b23ew2zm	20						
296	fcxxwwdc5u6tn0c3						1	
297	5ehhjpyew93chk6b	17	20					
299	nqma5n2x1chaw53u	3	9					
301	gzt2fsrrchzhea7y	5						
305	17vr4en0x3qj9a86	3						
306	nfhjcnj0ynucrncn	2						
307	3kduad6b10jaehf6	3						
308	a0ybhvvre5wxgj98						1	
309	0eznzs3st39gjj4t	9	17					
318	r4r201944ujw5j72						1	
319	9efttm47rjw0tsx4	13						
320	jynymey9jp7mn484	2						
322	eagsmn2ty36ugseb	13						
323	qh4n0y3ufu1pxdq0						1	
325	p1cqtm82ca7j8v76	17	20					
326	j9sdbf7132uqgq8p	5						
332	74dgkgf7tekqc5bh	23						
335	yyzs9y6t3v910p85	1						
336	fmb4bf7b9mt602xy	2						
337	e0bsqqdws865nsa4						1	
339	cg5979ysgetd94wk	23						
344	gdhbjgba0ej5jf49	1						
347	ceuud4br93pjb39h	3	9	20				
348	hmrd2jz9thq7vjga						1	
349	y4vzp5fsnhutp4c1	16	17					
351	zqf9d99sxskvhg01	13	17					
352	qdxm7jv7qc81vdw7						1	
354	uwtwas2jd2kj7pgv	13						
355	tvps3f6atrwxa459	3	9	16	19			
364	ugfpr9gd2hgng2dd						1	
365	nsdha1pprg82tpgz	11	16	17				
371	udj8vetxg0dxchcz	17						
399	nwuge9uztbxh9fj0	2						
403	pd0jhj5dtvdfjmra						1	
404	bsa6rxx6s7n3n4y4	13	17					
407	j1y1d4tmb4hzkyhx	3	20					
410	hf30pem8kqva56gp	2						
411	1xyqsryrhm60gsn2	2						
412	ymhsn1wpt6aqre1t	17	20					
413	zbjdz47u1vkgzxv1						1	
414	x601xn6n2sdvx5fb	9						
415	h76ctjee7jx94v7a	3	22					
416	n786kqjv16qt6f8u						1	
417	haayh9jz0w42xamk	3						
418	e6x2s8q9y9p9smwa						1	
419	kpdv3djbfqkbvbgt	1						
420	g2cs1n883ebw92fx						1	
421	qpd7yd49zd3hk9nk	13	23					
426	vzcgceq5feqr01cb						1	
435	jkk3cdcyqyr7eym2						1	
437	0d5n5r75wc6pkk12						1	
438	tcmba7wx0drdf0ea	11	13	17				
440	x2yfrcgw7ka8z1bk	2						
441	585xdz8u03htkyze	23						
442	uyv767mvdbtf9trp						1	
443	wj9d9dbtqy1knye4	2						
444	y65syge5qz5dpuee						1	
445	ghevq29n072yjyuh						1	
448	4nrmheny19vhv4rw						1	
449	5hjea32y602edrc1						1	
453	b5224s6v6fzmes2j						1	
454	dg8vjf8r09qh8y0s						1	
457	xn4w6h5eyf5wesd1						1	
458	c692v8xgjwqf2bqj	9	22					
460	0ckjcjxdtgukeeaa	11	12					
462	k3jtz2usmz2vrztn	3	20					
463	4p7tg6h90hzyasrn	1						
465	zdcv9r7tumqp3v2m	2						
466	53fm02u89b5dtnzr	2						
470	w8x41xzs4mc6hp5e	2						
475	b5xhujk76tq2z490	2						
478	v1389jes77czbaje						1	
480	x2knkx147x3027uy	11	13					
483	dfptw2x1qgndmt18	2						
484	3uxcaq973vmhbwzs	9	12					
485	xe8z3zg13b2shm65	3	9					
486	kvxc3w7tu4xmzk3e	2						
489	t3zadb1y1hbz9hns	1						
491	4n2gt74a9m7br3n2						1	
496	nav25gd9cbpke5uv	20	23					
499	6z1tetg7jcmg1ycm	9	16	17	19			
500	w2pebw5wu3n1rxt9	2						
501	hyzabcthjt74hg5c	4	20					
511	kajd3z8b8sdgpwys	23						
513	gftfura5eg6zzuvy						1	
514	14u1a03mfj9y3dbm	1						
515	uc0q7x501kn7vvjc	2						
516	vnvc6eg17hwkrhh1	11	14	17				
517	rp2h1qkywu73crfa	9						
519	73my1fcpx076ynqs	2						
521	sn2ve9qu5duwt9v2						1	
522	nsw8hzbbfnjhfmgn	16						
525	e8nqdtzfkb4mawx5	22						
526	kj8q4zuyctsyhm8s	13						
527	q0zjbnz23wdmpgs2						1	
529	5jmstefa3gawv6yk						1	
535	pfa2ytfgh6mma2hs	2						
536	0z5fp9zwgackj45d						1	
537	6h9c9591y3tepqkb	2						
538	3a8snzqw6ppsvk9u	4	10	12				
548	2ywctsdsxv7anz2a	3	7	9	16	17		20
551	1xc3za8xvwa43zy2						1	
552	pemyf8787w01wqjb	2						
553	fp3ypahc7rvxzebh						1	
558	k04ddhyqfppd44ht	16	17	18				
560	4gcd2hf6wqqr635j	20						
563	gqw5cvxj05s56ajm	3	17					
564	kmg2qgnnq7ntprry	22						
565	mrtr9kfcc6vj1n8p						1	
568	yv5zfgn5xne6a8qp	17						
570	qysa2fa0xzwcpwj4						1	
571	p7ghrj2xe741hnzp						1	
576	1utb00qca4u0d31f						1	
577	ud8pnwjsn3gmkurn	23						
582	strts0fahc5r2ahr						1	
583	bn4t7gqj5h5cze8s	13						
585	ddjaatqn1rkfxhux						1	
590	a46x6j0rjk6bm3mc	2						
