record	uuid	code1	code2	code3	code4
3	zb91zcjhnfmtaxct	1			
6	wt7szw2fhg8ganmn				
8	9j9egpeun58rjh8p			1	
12	tgyjwmpytb1br9tg	1			
14	wpfpeg4621kwqz5u	99			
16	tr2w8a7y2sw1ba8p				
17	tk4fbysmu05wcpyd	7			
19	yvzjs8g2yjymchmu	1			
20	8spvq8xryjm5nrv0	3			
22	w7w212b38pa19jfp	7			
27	54gbug9q17d38vmu				
28	zmr9cccr4xz244up	5			
29	569jgtm8wkp25ec4			1	
30	sn9m6jpyb4ptfd0r			1	
31	zjbebx4kwapb8f6n	4	5		
33	qvf0tpdv0x34cvud				
34	3xkhccg49fnmv3xp			1	
38	04hsbdp4z6e1r345			1	
39	b1kajpneyuq4jadh			1	
41	0rk8wuf54nsk1h1y				
46	mtd0udc1bajx5v1f				
47	6qp7fdz0vhf2ejtp	1			
49	62agmm2gudjchfrh			1	
54	9tg89end0jc0v368				
55	sbynnaqhmnmce999			1	
57	8fvtths2t3gfh7m5			1	
58	6t7myeapqb37ngmu	7			
59	vft5bfp6ytpr6zk7			1	
60	p1wcaa2mqrcpcbs0	2	3		
61	5cbz5cfhgvm1jn55				
62	1u535eq2q4nstjvp			1	
63	7g8cp5j3wv1nf9md			1	
64	qcbtubeeq4c2vn4r	4			
66	da0axy8fszzd9rm5	2	3		98
71	zvzarcucxsek76aj			1	
72	a8dj7wkyc7cdfhcf	3	7		
73	d7az0n031ph7tg0u			1	
74	c8zujcdehjrrmj6c				
90	uwbkff71mvszy1rr				
91	ksnd1hnn1mvxm99m			1	
92	pxk5xezq8b14zcnh			1	
93	7h7ppb6jpfne3fa9				
94	g24qz7syj0bnaksa			1	
95	jw3k76bwbg6ryhm5	1			
96	avxtgtfmgcp194y2				
97	10agt0g6e9ycakax	13	16		
104	xzkkjt4zry3yp42n			1	
105	fj27dx986wvhx6at			1	
106	fwr3kc089wxup0r5	1			
107	kk6z0nytuz3vzrt2	4			
112	ut0t557q84e7s2kk	99			
113	na53hqk99xv1mffk				
115	xc6w1sur4zfwvtm2	8	12		
116	y0g7fqwxv1qkksqd			1	
117	mh5ae8tnmtumqq3y			1	
121	u0r2qvd9nhh83xsz				
127	vdetr9tgufwe8n9w			1	
128	vuhap0xpvwekkvga				
130	7k0y5r91sv2674dx				
131	3974pj6myap88n5u	6			
132	9jubmwffwm7enz4j			1	
134	gn5ewczavprnnrh6			1	
139	5pdz7jjr9kvh7t34				
141	z35ehaygh71re4pg				
142	abj74fetxxbv6b3j				
146	7vuxggmze9phqwj0				
147	jxevst2mkur0n2yc	6	13		15
148	jncma7vhhbb0ysck				
150	a0tba1ex4pa2nw0p			1	
154	ng5d7xubyf3781k7	1			
155	h9gz99ykxuq3m3ms				
156	fv2xhbpvmswyu4wf	5			
157	e57ndv1eses7kf5v			1	
161	m3ygt36s8z0f11sp			1	
166	pfm3qmmjf50969ff				
